Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1605		0.2800		0.0000		0.6620		0.00023638
115		0.1626		0.2735		0.0000		0.6676		0.00023393
116		0.1648		0.3034		0.0000		0.6435		0.00023148
117		0.1699		0.2832		0.0000		0.6500		0.00022903
118		0.1628		0.2828		0.0000		0.6478		0.00022658
119		0.1628		0.2801		0.0000		0.6642		0.00022412
120		0.1612		0.2774		0.0000		0.6634		0.00022166
121		0.1621		0.2763		0.0000		0.6512		0.00021919
122		0.1630		0.2933		0.0000		0.6668		0.00021672
123		0.1599		0.2925		0.0000		0.6510		0.00021425
124		0.1728		0.2869		0.0000		0.6568		0.00021178
125		0.1595		0.2747		0.0000		0.6492		0.00020930
126		0.1605		0.2829		0.0000		0.6481		0.00020682
127		0.1598		0.2827		0.0000		0.6617		0.00020434
128		0.1564		0.2743		0.0000		0.6679		0.00020185
129		0.1554		0.2856		0.0000		0.6491		0.00019936
130		0.1567		0.2712		0.0000		0.6601		0.00019687
131		0.1548		0.2938		0.0000		0.6556		0.00019437
132		0.1568		0.2656		0.0000		0.6742		0.00019187
133		0.1556		0.2794		0.0000		0.6575		0.00018937
134		0.1576		0.2981		0.0000		0.6437		0.00018686
135		0.1581		0.2855		0.0000		0.6630		0.00018435
136		0.1557		0.2772		0.0000		0.6691		0.00018183
137		0.1553		0.2730		0.0000		0.6757		0.00017931
138		0.1512		0.2769		0.0000		0.6746		0.00017679
139		0.1510		0.2785		0.0000		0.6738		0.00017426
140		0.1534		0.3043		0.0000		0.6360		0.00017173
141		0.1553		0.2892		0.0000		0.6493		0.00016919
142		0.1527		0.2814		0.0000		0.6682		0.00016665
143		0.1516		0.2884		0.0000		0.6632		0.00016411
144		0.1497		0.2777		0.0000		0.6610		0.00016156
145		0.1512		0.2733		0.0000		0.6791		0.00015901
146		0.1504		0.2922		0.0000		0.6471		0.00015645
147		0.1501		0.2957		0.0000		0.6664		0.00015389
148		0.1485		0.2884		0.0000		0.6669		0.00015132
149		0.1493		0.2886		0.0000		0.6640		0.00014875
150		0.1500		0.2748		0.0000		0.6687		0.00014617
151		0.1470		0.2775		0.0000		0.6678		0.00014359
152		0.1467		0.2946		0.0000		0.6630		0.00014100
153		0.1461		0.2809		0.0000		0.6749		0.00013841
154		0.1472		0.2883		0.0000		0.6614		0.00013581
155		0.1472		0.2888		0.0000		0.6715		0.00013321
156		0.1439		0.2893		0.0000		0.6698		0.00013060
157		0.1439		0.2865		0.0000		0.6745		0.00012798
158		0.1450		0.2846		0.0000		0.6640		0.00012536
159		0.1440		0.2833		0.0000		0.6499		0.00012273
160		0.1433		0.2906		0.0000		0.6675		0.00012010
161		0.1434		0.2844		0.0000		0.6654		0.00011746
162		0.1447		0.2902		0.0000		0.6552		0.00011482
163		0.1421		0.2849		0.0000		0.6586		0.00011216
164		0.1403		0.2941		0.0000		0.6695		0.00010950
165		0.1415		0.2758		0.0000		0.6766		0.00010684
166		0.1410		0.2851		0.0000		0.6754		0.00010416
167		0.1410		0.2739		0.0000		0.6806		0.00010148
168		0.1401		0.2802		0.0000		0.6758		0.00009879
169		0.1391		0.2831		0.0000		0.6768		0.00009609
170		0.1387		0.2916		0.0000		0.6631		0.00009338
171		0.1380		0.2933		0.0000		0.6708		0.00009067
172		0.1393		0.2852		0.0000		0.6718		0.00008794
173		0.1384		0.2835		0.0000		0.6753		0.00008521
174		0.1385		0.2876		0.0000		0.6767		0.00008247
