Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
60		0.2692		0.3499		0.0000		0.5516		0.00036504
61		0.2706		0.3205		0.0000		0.5804		0.00036271
62		0.2688		0.3249		0.0000		0.5859		0.00036038
63		0.2675		0.3228		0.0000		0.5857		0.00035804
64		0.2657		0.3359		0.0000		0.5767		0.00035571
65		0.2653		0.3420		0.0000		0.5753		0.00035337
66		0.2617		0.3241		0.0000		0.5786		0.00035103
67		0.2603		0.3243		0.0000		0.5885		0.00034869
68		0.2608		0.3308		0.0000		0.5874		0.00034635
69		0.2598		0.3267		0.0000		0.5831		0.00034400
70		0.2614		0.3373		0.0000		0.5777		0.00034165
71		0.2607		0.3234		0.0000		0.5779		0.00033931
72		0.2571		0.3243		0.0000		0.5981		0.00033696
73		0.2578		0.3291		0.0000		0.5927		0.00033460
74		0.2552		0.3232		0.0000		0.5842		0.00033225
75		0.2568		0.3261		0.0000		0.5876		0.00032990
76		0.2533		0.3186		0.0000		0.5945		0.00032754
77		0.2547		0.3236		0.0000		0.5922		0.00032518
78		0.2545		0.3247		0.0000		0.5943		0.00032282
79		0.2528		0.3226		0.0000		0.5860		0.00032045
80		0.2502		0.3175		0.0000		0.5887		0.00031809
81		0.2523		0.3235		0.0000		0.5953		0.00031572
82		0.2495		0.3115		0.0000		0.5959		0.00031335
83		0.2482		0.3240		0.0000		0.5975		0.00031098
84		0.2513		0.3247		0.0000		0.6075		0.00030861
85		0.2503		0.3201		0.0000		0.5911		0.00030624
86		0.2481		0.3223		0.0000		0.6004		0.00030386
87		0.2474		0.3291		0.0000		0.5788		0.00030148
88		0.2455		0.3156		0.0000		0.6008		0.00029910
89		0.2447		0.3206		0.0000		0.5855		0.00029671
90		0.2444		0.3250		0.0000		0.5910		0.00029433
91		0.2438		0.3190		0.0000		0.5930		0.00029194
92		0.2436		0.3242		0.0000		0.5958		0.00028955
93		0.2450		0.3279		0.0000		0.5865		0.00028716
94		0.2426		0.3307		0.0000		0.5996		0.00028477
95		0.2419		0.3185		0.0000		0.5937		0.00028237
96		0.2389		0.3180		0.0000		0.5970		0.00027997
97		0.2417		0.3120		0.0000		0.6040		0.00027757
98		0.2403		0.3118		0.0000		0.6059		0.00027517
99		0.2397		0.3063		0.0000		0.6093		0.00027276
100		0.2388		0.3186		0.0000		0.6013		0.00027035
101		0.2376		0.3181		0.0000		0.6046		0.00026794
102		0.2400		0.3148		0.0000		0.5926		0.00026553
103		0.2380		0.3067		0.0000		0.6130		0.00026312
104		0.2363		0.3089		0.0000		0.6142		0.00026070
105		0.2361		0.3116		0.0000		0.6112		0.00025828
106		0.2345		0.3113		0.0000		0.6125		0.00025586
107		0.2339		0.3151		0.0000		0.6037		0.00025343
108		0.2348		0.3146		0.0000		0.6085		0.00025100
109		0.2314		0.3097		0.0000		0.6109		0.00024857
110		0.2317		0.3114		0.0000		0.6096		0.00024614
111		0.2325		0.3113		0.0000		0.6123		0.00024370
112		0.2330		0.3218		0.0000		0.6007		0.00024126
113		0.2322		0.3047		0.0000		0.6147		0.00023882
114		0.2318		0.3107		0.0000		0.6124		0.00023638
115		0.2323		0.3134		0.0000		0.6011		0.00023393
116		0.2313		0.3061		0.0000		0.6077		0.00023148
117		0.2290		0.3097		0.0000		0.6051		0.00022903
118		0.2279		0.3149		0.0000		0.6057		0.00022658
119		0.2288		0.3057		0.0000		0.6096		0.00022412
120		0.2287		0.3134		0.0000		0.6129		0.00022166
121		0.2258		0.2986		0.0000		0.6168		0.00021919
122		0.2262		0.3030		0.0000		0.6239		0.00021672
123		0.2270		0.3038		0.0000		0.6193		0.00021425
124		0.2264		0.3040		0.0000		0.6181		0.00021178
125		0.2285		0.3156		0.0000		0.6183		0.00020930
126		0.2262		0.3054		0.0000		0.6218		0.00020682
127		0.2243		0.3067		0.0000		0.6185		0.00020434
128		0.2247		0.3077		0.0000		0.6177		0.00020185
129		0.2239		0.3069		0.0000		0.6185		0.00019936
130		0.2226		0.2992		0.0000		0.6169		0.00019687
131		0.2212		0.3084		0.0000		0.6181		0.00019437
132		0.2211		0.3067		0.0000		0.6095		0.00019187
133		0.2222		0.3073		0.0000		0.6208		0.00018937
134		0.2271		0.2987		0.0000		0.6192		0.00018686
135		0.2198		0.3124		0.0000		0.6174		0.00018435
136		0.2209		0.3075		0.0000		0.6210		0.00018183
137		0.2222		0.2989		0.0000		0.6221		0.00017931
138		0.2193		0.3052		0.0000		0.6254		0.00017679
139		0.2188		0.3115		0.0000		0.6164		0.00017426
140		0.2190		0.3028		0.0000		0.6237		0.00017173
141		0.2187		0.3045		0.0000		0.6173		0.00016919
142		0.2192		0.3047		0.0000		0.6141		0.00016665
143		0.2158		0.3025		0.0000		0.6272		0.00016411
144		0.2171		0.3084		0.0000		0.6148		0.00016156
145		0.2165		0.3080		0.0000		0.6222		0.00015901
146		0.2160		0.3030		0.0000		0.6163		0.00015645
147		0.2150		0.3026		0.0000		0.6182		0.00015389
148		0.2161		0.3003		0.0000		0.6243		0.00015132
149		0.2138		0.3020		0.0000		0.6297		0.00014875
150		0.2133		0.2974		0.0000		0.6296		0.00014617
151		0.2144		0.2983		0.0000		0.6266		0.00014359
152		0.2137		0.3026		0.0000		0.6200		0.00014100
153		0.2153		0.3094		0.0000		0.6288		0.00013841
154		0.2165		0.3073		0.0000		0.6187		0.00013581
155		0.2123		0.2988		0.0000		0.6306		0.00013321
156		0.2129		0.2975		0.0000		0.6295		0.00013060
157		0.2109		0.2995		0.0000		0.6185		0.00012798
158		0.2113		0.3039		0.0000		0.6313		0.00012536
159		0.2104		0.3009		0.0000		0.6203		0.00012273
160		0.2103		0.3054		0.0000		0.6235		0.00012010
161		0.2106		0.3008		0.0000		0.6300		0.00011746
162		0.2110		0.2983		0.0000		0.6297		0.00011482
163		0.2093		0.2968		0.0000		0.6305		0.00011216
164		0.2087		0.2998		0.0000		0.6264		0.00010950
165		0.2085		0.3017		0.0000		0.6312		0.00010684
166		0.2068		0.3003		0.0000		0.6234		0.00010416
167		0.2080		0.3006		0.0000		0.6273		0.00010148
168		0.2075		0.3012		0.0000		0.6336		0.00009879
169		0.2066		0.2972		0.0000		0.6290		0.00009609
170		0.2072		0.2993		0.0000		0.6287		0.00009338
171		0.2063		0.2998		0.0000		0.6283		0.00009067
172		0.2061		0.3067		0.0000		0.6325		0.00008794
173		0.2059		0.2980		0.0000		0.6281		0.00008521
174		0.2043		0.2971		0.0000		0.6300		0.00008247
175		0.2050		0.2956		0.0000		0.6340		0.00007971
176		0.2033		0.2959		0.0000		0.6353		0.00007695
177		0.2043		0.2928		0.0000		0.6380		0.00007417
178		0.2032		0.2984		0.0000		0.6236		0.00007138
179		0.2032		0.2944		0.0000		0.6356		0.00006858
180		0.2031		0.2956		0.0000		0.6341		0.00006577
181		0.2022		0.2944		0.0000		0.6316		0.00006295
182		0.2020		0.2967		0.0000		0.6316		0.00006011
183		0.2022		0.2948		0.0000		0.6367		0.00005725
184		0.2015		0.2949		0.0000		0.6332		0.00005438
185		0.2009		0.2952		0.0000		0.6363		0.00005149
186		0.2014		0.2972		0.0000		0.6314		0.00004859
187		0.2008		0.2967		0.0000		0.6325		0.00004566
188		0.2006		0.2932		0.0000		0.6369		0.00004272
189		0.1990		0.2955		0.0000		0.6318		0.00003975
190		0.2002		0.3007		0.0000		0.6325		0.00003675
191		0.1982		0.2924		0.0000		0.6352		0.00003373
192		0.1982		0.2961		0.0000		0.6336		0.00003068
193		0.1977		0.2964		0.0000		0.6315		0.00002759
194		0.1983		0.2933		0.0000		0.6353		0.00002447
195		0.1986		0.2951		0.0000		0.6372		0.00002130
196		0.1974		0.3003		0.0000		0.6316		0.00001808
197		0.1972		0.2968		0.0000		0.6346		0.00001479
198		0.1952		0.3002		0.0000		0.6341		0.00001141
199		0.1974		0.2958		0.0000		0.6353		0.00000792
200		0.1971		0.2961		0.0000		0.6337		0.00000425
