Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.6127		0.9301		0.0000		0.2319		0.00050000
2		0.7987		0.7234		0.0000		0.2827		0.00049775
3		0.6466		0.6180		0.0000		0.3294		0.00049550
4		0.5652		0.5412		0.0000		0.3792		0.00049324
5		0.5153		0.5198		0.0000		0.3949		0.00049099
6		0.4835		0.5005		0.0000		0.4055		0.00048874
7		0.4611		0.4788		0.0000		0.4135		0.00048648
8		0.4442		0.4740		0.0000		0.4245		0.00048422
9		0.4312		0.4467		0.0000		0.4386		0.00048196
10		0.4188		0.4404		0.0000		0.4467		0.00047970
11		0.4070		0.4352		0.0000		0.4512		0.00047744
12		0.3984		0.4260		0.0000		0.4633		0.00047518
13		0.3875		0.4184		0.0000		0.4661		0.00047292
14		0.3792		0.4201		0.0000		0.4778		0.00047065
15		0.3711		0.4060		0.0000		0.4817		0.00046839
16		0.3669		0.3983		0.0000		0.4916		0.00046612
17		0.3624		0.3869		0.0000		0.4951		0.00046385
18		0.3560		0.3939		0.0000		0.4865		0.00046158
19		0.3526		0.3875		0.0000		0.5096		0.00045931
20		0.3476		0.3972		0.0000		0.5011		0.00045704
21		0.3446		0.3858		0.0000		0.5137		0.00045477
22		0.3398		0.3821		0.0000		0.5144		0.00045249
23		0.3353		0.3781		0.0000		0.5222		0.00045022
24		0.3329		0.3640		0.0000		0.5323		0.00044794
25		0.3290		0.3673		0.0000		0.5208		0.00044566
26		0.3261		0.3654		0.0000		0.5236		0.00044338
27		0.3258		0.3704		0.0000		0.5205		0.00044110
28		0.3209		0.3656		0.0000		0.5269		0.00043882
29		0.3175		0.3543		0.0000		0.5325		0.00043653
30		0.3170		0.3684		0.0000		0.5265		0.00043425
31		0.3138		0.3608		0.0000		0.5457		0.00043196
32		0.3140		0.3535		0.0000		0.5494		0.00042968
33		0.3098		0.3600		0.0000		0.5388		0.00042739
34		0.3062		0.3547		0.0000		0.5457		0.00042510
35		0.3051		0.3642		0.0000		0.5314		0.00042281
36		0.3037		0.3578		0.0000		0.5383		0.00042051
37		0.3024		0.3487		0.0000		0.5548		0.00041822
38		0.3013		0.3451		0.0000		0.5641		0.00041592
39		0.2975		0.3443		0.0000		0.5558		0.00041362
40		0.2952		0.3470		0.0000		0.5603		0.00041133
41		0.2922		0.3393		0.0000		0.5490		0.00040903
42		0.2919		0.3399		0.0000		0.5647		0.00040672
43		0.2917		0.3480		0.0000		0.5646		0.00040442
44		0.2880		0.3436		0.0000		0.5477		0.00040212
45		0.2897		0.3485		0.0000		0.5628		0.00039981
46		0.2856		0.3379		0.0000		0.5598		0.00039750
47		0.2844		0.3361		0.0000		0.5716		0.00039520
48		0.2811		0.3551		0.0000		0.5473		0.00039288
49		0.2810		0.3368		0.0000		0.5617		0.00039057
50		0.2780		0.3500		0.0000		0.5725		0.00038826
51		0.2790		0.3407		0.0000		0.5635		0.00038594
52		0.2797		0.3347		0.0000		0.5751		0.00038363
53		0.2769		0.3259		0.0000		0.5781		0.00038131
54		0.2768		0.3417		0.0000		0.5708		0.00037899
55		0.2733		0.3412		0.0000		0.5569		0.00037667
56		0.2741		0.3329		0.0000		0.5784		0.00037435
57		0.2731		0.3448		0.0000		0.5787		0.00037202
58		0.2687		0.3345		0.0000		0.5717		0.00036970
59		0.2701		0.3327		0.0000		0.5662		0.00036737
