Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1953		0.2913		0.0000		0.6127		0.00023638
115		0.1950		0.2882		0.0000		0.6241		0.00023393
116		0.1941		0.2851		0.0000		0.6381		0.00023148
117		0.1994		0.2891		0.0000		0.6349		0.00022903
118		0.1995		0.2955		0.0000		0.6273		0.00022658
119		0.1917		0.2959		0.0000		0.6245		0.00022412
120		0.1917		0.2915		0.0000		0.6301		0.00022166
121		0.1933		0.2972		0.0000		0.6347		0.00021919
122		0.1916		0.3040		0.0000		0.6157		0.00021672
123		0.1945		0.2983		0.0000		0.6200		0.00021425
124		0.1923		0.2848		0.0000		0.6370		0.00021178
125		0.1922		0.2911		0.0000		0.6261		0.00020930
126		0.1892		0.2953		0.0000		0.6282		0.00020682
127		0.1866		0.2871		0.0000		0.6268		0.00020434
128		0.1862		0.2974		0.0000		0.6333		0.00020185
129		0.1907		0.2878		0.0000		0.6419		0.00019936
130		0.1924		0.2871		0.0000		0.6367		0.00019687
131		0.1890		0.3076		0.0000		0.6124		0.00019437
132		0.1905		0.2877		0.0000		0.6320		0.00019187
133		0.1884		0.2886		0.0000		0.6329		0.00018937
134		0.1843		0.2856		0.0000		0.6410		0.00018686
135		0.1851		0.2846		0.0000		0.6352		0.00018435
136		0.1853		0.2917		0.0000		0.6298		0.00018183
137		0.1876		0.2896		0.0000		0.6269		0.00017931
138		0.1891		0.2888		0.0000		0.6217		0.00017679
139		0.1854		0.2850		0.0000		0.6261		0.00017426
140		0.1860		0.2891		0.0000		0.6300		0.00017173
141		0.1829		0.2869		0.0000		0.6359		0.00016919
142		0.1839		0.2879		0.0000		0.6355		0.00016665
143		0.1810		0.2875		0.0000		0.6361		0.00016411
144		0.1819		0.2877		0.0000		0.6393		0.00016156
145		0.1791		0.2931		0.0000		0.6267		0.00015901
146		0.1803		0.2913		0.0000		0.6309		0.00015645
147		0.1802		0.2895		0.0000		0.6410		0.00015389
148		0.1820		0.2981		0.0000		0.6182		0.00015132
149		0.1810		0.2911		0.0000		0.6295		0.00014875
150		0.1798		0.2986		0.0000		0.6294		0.00014617
151		0.1814		0.2899		0.0000		0.6382		0.00014359
152		0.1774		0.2957		0.0000		0.6272		0.00014100
153		0.1768		0.2964		0.0000		0.6283		0.00013841
154		0.1778		0.2860		0.0000		0.6277		0.00013581
155		0.1781		0.3004		0.0000		0.6195		0.00013321
156		0.1786		0.2884		0.0000		0.6372		0.00013060
157		0.1771		0.2863		0.0000		0.6274		0.00012798
158		0.1758		0.2907		0.0000		0.6275		0.00012536
159		0.1752		0.2932		0.0000		0.6316		0.00012273
160		0.1748		0.2869		0.0000		0.6416		0.00012010
161		0.1742		0.2904		0.0000		0.6336		0.00011746
162		0.1739		0.2828		0.0000		0.6463		0.00011482
163		0.1724		0.2855		0.0000		0.6424		0.00011216
164		0.1731		0.2946		0.0000		0.6319		0.00010950
165		0.1733		0.2932		0.0000		0.6295		0.00010684
166		0.1730		0.2909		0.0000		0.6362		0.00010416
167		0.1715		0.2870		0.0000		0.6474		0.00010148
168		0.1708		0.2891		0.0000		0.6358		0.00009879
169		0.1714		0.2865		0.0000		0.6373		0.00009609
170		0.1698		0.2886		0.0000		0.6340		0.00009338
171		0.1714		0.2851		0.0000		0.6444		0.00009067
172		0.1702		0.2807		0.0000		0.6610		0.00008794
173		0.1695		0.2910		0.0000		0.6269		0.00008521
174		0.1691		0.2900		0.0000		0.6538		0.00008247
175		0.1692		0.2982		0.0000		0.6301		0.00007971
176		0.1685		0.2983		0.0000		0.6333		0.00007695
177		0.1693		0.2911		0.0000		0.6368		0.00007417
178		0.1681		0.2893		0.0000		0.6397		0.00007138
179		0.1685		0.2858		0.0000		0.6488		0.00006858
180		0.1671		0.2888		0.0000		0.6349		0.00006577
181		0.1662		0.2882		0.0000		0.6363		0.00006295
182		0.1661		0.2928		0.0000		0.6373		0.00006011
183		0.1659		0.2828		0.0000		0.6483		0.00005725
184		0.1660		0.2797		0.0000		0.6481		0.00005438
185		0.1654		0.2867		0.0000		0.6417		0.00005149
186		0.1653		0.2875		0.0000		0.6423		0.00004859
187		0.1648		0.2910		0.0000		0.6398		0.00004566
188		0.1638		0.2927		0.0000		0.6363		0.00004272
189		0.1638		0.2819		0.0000		0.6459		0.00003975
190		0.1638		0.2873		0.0000		0.6435		0.00003675
191		0.1630		0.2886		0.0000		0.6352		0.00003373
192		0.1627		0.2851		0.0000		0.6513		0.00003068
193		0.1622		0.2902		0.0000		0.6435		0.00002759
194		0.1621		0.2909		0.0000		0.6431		0.00002447
195		0.1619		0.2885		0.0000		0.6505		0.00002130
196		0.1620		0.2831		0.0000		0.6510		0.00001808
197		0.1616		0.2890		0.0000		0.6454		0.00001479
198		0.1609		0.2882		0.0000		0.6452		0.00001141
199		0.1609		0.2895		0.0000		0.6442		0.00000792
200		0.1601		0.2870		0.0000		0.6417		0.00000425
